PMG11_00788	780	1
PMG11_00789	1200	18
PMG11_00790	2463	42
PMG11_00791	591	305
PMG11_00792	960	32
PMG11_00793	1104	7
PMG11_00794	2271	23
PMG11_00795	1080	142
PMG11_00796	1380	66
PMG11_00797	1332	77
PMG11_00798	462	16
PMG11_00799	1068	120
PMG11_00800	1554	6
PMG11_00801	360	104
PMG11_00802	849	56
PMG11_00803	1317	24
PMG11_00804	2109	4
PMG11_00805	1488	41
PMG11_00806	327	0
PMG11_00807	513	0
PMG11_00808	2757	62
PMG11_00809	582	2
PMG11_00810	504	0
PMG11_00811	1332	0
PMG11_00812	3027	108
PMG11_00813	1020	234
PMG11_00814	795	148
PMG11_00815	1317	100
PMG11_00816	1182	48
PMG11_00817	2061	44
PMG11_00818	1332	22
PMG11_00819	2172	24
PMG11_00820	966	0
PMG11_00821	1257	8
PMG11_00822	921	5
PMG11_00823	639	12
PMG11_00824	603	7
PMG11_00825	1686	18
PMG11_00826	1335	24
PMG11_00827	2676	84
PMG11_00828	2952	5
PMG11_00829	936	38
PMG11_00830	831	302
PMG11_00831	1176	144
PMG11_00832	522	68
PMG11_00833	1188	108
PMG11_00834	579	216
PMG11_00835	861	206
PMG11_00836	807	51
PMG11_00837	924	78
PMG11_00838	2079	2
PMG11_00839	4488	73
PMG11_00840	11142	57
PMG11_00841	2139	173
PMG11_00842	3729	39
PMG11_00843	1260	32
PMG11_00844	1383	4
PMG11_00845	4341	484
PMG11_00846	2148	30
PMG11_00847	1092	53
PMG11_00848	558	38
PMG11_00849	732	28
PMG11_00850	1986	20
PMG11_00851	1161	289
PMG11_00852	276	28
PMG11_00853	870	40
PMG11_00854	783	114
PMG11_00855	669	0
PMG11_00856	1431	5
PMG11_00857	780	58
PMG11_00858	768	234
PMG11_00859	2103	100
PMG11_00860	4065	85
PMG11_00861	702	36
PMG11_00862	843	104
PMG11_00863	654	4
PMG11_00864	1155	390
PMG11_00865	786	11
PMG11_00866	879	97
PMG11_00867	804	24
PMG11_00868	2085	557
PMG11_00869	3603	86
PMG11_00870	381	39
PMG11_00871	1224	14
PMG11_00872	243	59
PMG11_00873	1791	79
PMG11_00874	1518	1
PMG11_00875	1350	33
PMG11_00876	2376	81
PMG11_00877	1452	12
PMG11_00878	720	85
PMG11_00879	1230	11
PMG11_00880	1146	19
PMG11_00881	450	150
PMG11_00882	945	1
PMG11_00883	504	0
PMG11_00884	1011	32
PMG11_00885	3057	8
PMG11_00886	1971	2
PMG11_00887	1710	107
PMG11_00888	1296	57
PMG11_00889	765	0
PMG11_00890	834	9
PMG11_00891	591	17
PMG11_00892	543	7
PMG11_00893	417	20
PMG11_00894	711	55
PMG11_00895	468	15
PMG11_00896	1539	0
PMG11_00897	1041	10
PMG11_00898	342	22
PMG11_00899	1128	100
PMG11_00900	2481	48
PMG11_00901	231	614
PMG11_00902	2028	33
PMG11_00903	1410	19
PMG11_00904	1272	0
PMG11_00905	666	37
PMG11_00906	747	26
PMG11_00907	864	51
PMG11_00908	873	80
PMG11_00909	1932	17
PMG11_00910	1467	162
PMG11_00911	1560	9
PMG11_00912	567	145
PMG11_00913	1689	99
PMG11_00914	1125	27
PMG11_00915	6453	100
PMG11_00916	1215	309
PMG11_00917	1242	16
PMG11_00918	1314	92
PMG11_00919	1527	14
PMG11_00920	876	3
PMG11_00921	2211	33
PMG11_00922	1380	75
PMG11_00923	666	0
PMG11_00924	1632	0
PMG11_00925	2235	21
PMG11_00926	849	17
PMG11_00927	1683	3
PMG11_00928	1047	5
PMG11_00929	2994	33
PMG11_00930	1170	53
PMG11_00931	495	300
PMG11_00932	459	117
PMG11_00933	495	262
PMG11_00934	1764	15
PMG11_00935	2556	68
PMG11_00936	2247	75
PMG11_00937	1644	25
PMG11_00938	816	16
PMG11_00939	888	103
PMG11_00940	477	53
PMG11_00941	4482	72
PMG11_00942	747	3
PMG11_00943	786	15
